,0
0,станок
1,деревообратывать
2,способный
3,выполнять
4,различный
5,операция
6,по
7,механический
8,обработка
9,без
10,смена
11,инструмент
12,между
13,этот
14,операция
15,автоматический
16,перемещение
17,обрабатывать
18,изделие
19,многофинкциональный
20,координатный
21,оборудование
22,металообрабатывать
23,универсальный
24,токарный
25,винторезный
26,горизонтальный
27,чпу
28,предназначить
29,для
30,токарный
31,обработка
32,деталь
33,тело
34,вращение
35,также
36,нарезание
37,резьба
38,область
39,применение
40,применяться
41,на
42,предприятие
43,металообразец
44,пресс
45,изготовление
46,отвод
47,наружний
48,диаметр
49,530
50,820мма
51,тип
52,zhw
53,электрогидравлический
54,поставляться
55,разобрать
56,вид
57,удобство
58,транспортировка
59,плоскошлифовальный
60,марка
61,alex
62,модель
63,rh
64,500
65,точность
66,позиционирование
67,любой
68,ось
69,002
70,мм
71,реставрация
72,ограночный
73,диск
74,ввозиться
75,собственный
76,нужда
77,ограночный
78,производство
79,проволока
80,линия
81,грубый
82,волочение
83,медный
84,жила
85,предназначить
86,высокоскоростной
87,медь
88,круглый
89,сечение
90,из
91,рабочий
92,заготовка
93,жила
94,требовать
95,диаметр
96,процесс
97,представлять
98,себя
99,протягивание
100,за
101,обрабатывать
102,центр
103,гражданский
104,назначение
105,станок
106,плоскошлифовальный
107,машина
108,вырубной
109,или
110,пробивной
111,металлообрабатывающий
112,шлифовка
113,конец
114,оплётка
115,после
116,она
117,формирование
118,алюминиевый
119,работа
120,состав
121,линия
122,производство
123,арматура
124,спиральный
125,тип
126,rm
127,1990
128,2016
129,многофункциональный
130,обрабатывать
131,центр
132,quota
133,glass
134,3350
135,предназначить
136,холодный
137,стекло
138,дерево
139,пила
140,механический
141,дисковый
142,не
143,военный
144,частично
145,ввид
146,токарный
147,многоцелевой
148,принадлежность
149,вертикальный
150,панельный
151,пила
152,предустановка
153,под
154,централизовать
155,аспирация
156,предназначить
157,раскрой
158,плитный
159,материал
160,вертикаль
161,горизонталь
162,фрезерный
163,металлообрабатывающий
164,код
165,окп
166,38
167,1009
168,osp
169,p300m
170,выполнять
171,ручной
172,кромкооблицовочный
173,оклейка
174,криволинейный
175,прямой
176,толщина
177,10
178,60
179,кромка
180,от
181,сверлильный
182,присадочный
183,предназначить
184,высокоточный
185,сверление
186,сквозной
187,глухой
188,отверстие
189,плоскость
190,торец
191,мебельный
192,щит
193,обеспечивать
194,сверление
195,весь
196,карта
197,присадка
198,один
199,проход
200,деталь
201,машина
202,лазерный
203,гравировальный
204,лазерный
205,гравёр
206,cdi
207,новый
208,работать
209,использование
210,лазерный
211,излучение
212,удаление
213,поверхность
214,фотополимерный
215,пластина
216,флексографический
217,форма
218,полиграфический
219,бесцентровый
220,токарный
221,модель
222,кж9а330ф1
223,заводский
224,номер
225,шт
226,новый
227,год
228,выпуск
229,2017
230,иметь
231,горизонтальный
232,компоновка
233,система
234,черновой
235,обдирка
236,многоцелевой
237,бывший
238,употребление
239,fanuc
240,21i
241,е280
242,серийный
243,016
244,007166
245,425
246,комплект
247,транспортёр
248,стружка
249,податчик
250,пруток
251,samsys
252,multi
253,2000
254,2007
255,металлообрабатывающий
256,сверлильный
257,маркировка
258,targus
259,automation
260,tds350
261,необходимый
262,часть
263,инструмент
264,пуск
265,наладка
266,станок
267,который
268,представить
269,следующий
270,список
271,шприц
272,га
273,новый
274,любой
275,материал
276,работать
277,плазменный
278,дуговой
279,процесс
280,плазменный
281,режущий
282,комплетность
283,общий
284,вес
285,брутто
286,поддон
287,4705
288,00кг
289,гибочный
290,weeke
291,kuper
292,bst
293,40
294,1989
295,1871
296,идентификационный
297,2019942
298,рабочий
299,напряжение
300,380ть
301,питание
302,24в
303,номинальный
304,ток
305,34а
306,50гц
307,заготовка
308,отрезной
309,автоматический
310,резка
311,алюминиевый
312,профиль
313,wz
314,113
315,2010
316,1шт
317,трехфазный
318,двигатель
319,мощность
320,5kw
321,скорость
322,двигатель
323,3000
324,о
325,мина
326,вращение
327,град
328,90
329,вправо
330,45
331,влево
332,пневматический
333,прижим
334,гидравлический
335,пакетировочный
336,лом
337,металл
338,y83w
339,4000a3
340,внутришлифовальный
341,путём
342,помощь
343,луч
344,лазер
345,являться
346,многофункциональный
347,разделительный
348,инструмент
349,незначительный
350,ширина
351,реза
352,мочь
353,резать
354,простой
355,сложный
356,внешний
357,внутренний
358,контур
359,тонкий
360,способный
361,деревянный
362,заготовка
363,металлорежущий
364,числовой
365,программный
366,управление
367,ck6136
368,металлический
369,изделие
370,диапазон
371,скорость
372,шпиндель
373,1800об
374,максимальный
375,длина
376,заготовким
377,программhый
378,управлеhие
379,металлорежущий
380,портативный
381,фланцевый
382,поверхность
383,пневматический
384,привод
385,12
386,состоять
387,два
388,основный
389,часть
390,монтажный
391,основание
392,предназначить
393,установка
394,обрабатынуть
395,1021
396,p300sa
397,шлифовальный
398,полировальный
399,оптический
400,1997
401,год
402,318000
403,вертикальный
404,v4
405,рv12160151
406,разобраный
407,цель
408,относиться
409,вертикальный
410,среднегабаритный
411,металлообрабатывающий
412,центр
413,шпинд
414,установка
415,сборка
416,бампер
417,решётка
418,радиатор
419,сборочный
420,механический
421,соединение
422,впрессовывание
423,решеки
424,логотип
425,основный
426,корпус
427,легковой
428,автомобиль
429,основной
430,узел
431,стальной
432,корпус
433,стальной
434,пла
435,hcp
436,42
437,10642н1357
438,относиться
439,горизонтальный
440,обрабатывать
441,выполнение
442,весь
443,спектр
444,токарный
445,работа
446,кроме
447,тот
448,немой
449,можно
450,фрезеро
451,ленточный
452,mj3210a
453,механический
454,распиловка
455,бревно
456,брус
457,лафет
458,обрезной
459,необрезной
460,доска
461,диаметр
462,колесо
463,1060
464,700
465,ширина
466,полотно
467,125
468,7200мма
469,максимальный
470,ножницы
471,включая
472,пресса
473,комбинированный
474,пробивной
475,высечный
476,листовой
477,гражда
478,назнач
479,смотреть
480,дополнение
481,представлять
482,себя
483,okuma
484,серия
485,multus
486,u3000
487,горизонтально
488,расположить
489,шпиндель
490,вертикальный
491,фрезерный
492,зип
493,381009
494,мощность
495,23
496,квт
497,380
498,размер
499,2450х2400х2640
500,vcenter
501,85a
502,арт
503,118
504,осевой
505,система
506,перевозиться
507,портальный
508,газокислородный
509,плазменный
510,multitherm
511,5000
512,програмный
513,фирма
514,messer
515,cutting
516,systems
517,gmbh
518,1комплект
519,286782
520,коорда
521,liechti
522,turbomill
523,800i
524,трубонарезной
525,hyundai
526,wia
527,l400c
528,металлорежущий
529,ремонт
530,насосный
531,компрессорный
532,труба
533,муфта
534,труба
535,использовать
536,бурение
537,нефтяной
538,газовый
539,скважина
540,лущильный
541,jg600
542,бревно
543,срезание
544,кора
545,1500мма
546,ролик
547,150мма
548,500мма
549,габаритный
550,размер
551,3200
552,1900
553,1100мма
554,dl6g
555,3шт
556,наклонный
557,стол
558,0i
559,mate
560,tf
561,устанавливать
562,над
563,станина
564,490мма
565,привод
566,11
567,15квт
568,мостовая
569,предназначить
570,камень
571,распил
572,сляб
573,ракетный
574,космический
575,авиационный
576,промышленность
577,абразивный
578,magnutom
579,мах
580,отрезной
581,диск
582,508
583,габарит
584,1882x1758x1463
585,оборудовать
586,встроить
587,лазерный
588,линейка
589,отрезание
590,различный
591,отображение
592,ли
593,пильный
594,пильный
595,натуральный
596,фрезеровальный
597,фрезеровка
598,торцевой
599,гидравлический
600,навесный
601,экскаватор
602,крепиться
603,пальцевый
604,использоваться
605,отдельно
606,числовой
607,программный
608,управление
609,работать
610,счёт
611,гидравлика
612,экскватор
613,марк
614,genesis
615,gxp1000r
616,листогибочный
617,trubend
618,3100
619,завод
620,b1202i0370
